z,tech,f,Life,UnitSize,BuildLimitperYear,DescreteCap,HeatRate,Capex,FOMperMW,VOM,ReserveCost,MinGenShareAllHours,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn
Inter_EastAna,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
Inter_EastAna,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Inter_EastAna,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
Inter_EastAna,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
Inter_SouthEast,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
Inter_SouthEast,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
Inter_SouthEast,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Inter_SouthEast,ICE,Gas,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Inter_SouthEast,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Inter_SouthEast,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Inter_SouthEast,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Inter_SouthEast,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Inter_SouthEast,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
Inter_SouthEast,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
Inter_SouthEast,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
Inter_SouthEast,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
Inter_SouthEast,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
Inter_SouthEast,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Inter_SouthEast,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
Inter_SouthEast,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
