gen,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Achwa2_HPP,Q2,d5,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222
Achwa2_HPP,Q3,d1,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333
Achwa2_HPP,Q3,d2,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333
Achwa2_HPP,Q3,d3,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333
Achwa2_HPP,Q3,d4,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333
Achwa2_HPP,Q3,d5,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333,0.072583333
Achwa2_HPP,Q4,d1,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111
Achwa2_HPP,Q4,d2,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111
Achwa2_HPP,Q4,d3,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111
Achwa2_HPP,Q4,d4,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111,0.169111111
