gen	Q1	Q2	Q3	Q4
Gitaru_Rehab	0.49	0.5	0.52	0.53
Kamburu_Rehab	0.3	0.32	0.3	0.33
Karura	0.49	0.5	0.52	0.53
Kiambere_Rehab	0.49	0.5	0.52	0.53
Kindaruma_Rehab	0.49	0.5	0.52	0.53
Masinga_Rehab	0.49	0.5	0.52	0.53
Sangoro_Rehab	0.49	0.5	0.52	0.53
Sondu_Rehab	0.49	0.5	0.52	0.53
Tana_Rehab	0.49	0.5	0.52	0.53
Turkwel_Rehab	0.49	0.5	0.52	0.53
Generic_Large_Hydro	0.27	0.27	0.28	0.29
High_Grand_Falls_-_I	0.27	0.27	0.28	0.29
High_Grand_Falls_-_II	0.98	0.98	0.98	0.98
BESS_4	0.97	0.97	0.97	0.97
Generic_GENC_BESS	0.97	0.97	0.97	0.97
Pumped_Hydro	0.97	0.97	0.97	0.97
Aperture_Green_GENC_KEN	0.97	0.97	0.97	0.97
Bahari_Phase_I	0.97	0.97	0.97	0.97
Bahari_Phase_II	0.97	0.97	0.97	0.97
Generic_GENC_Wind_High	0.97	0.97	0.97	0.97
Generic_GENC_Wind_Low_1	0.97	0.97	0.97	0.97
Generic_GENC_Wind_Low_2	0.97	0.97	0.97	0.97
Kajiado_Wind_	0.97	0.97	0.97	0.97
Limuru_Wind	0.97	0.97	0.97	0.97
Malindi	0.97	0.97	0.97	0.97
Marsabit_Phase_I	0.97	0.97	0.97	0.97
Marsabit_Phase_II	0.97	0.97	0.97	0.97
Meru_I	0.97	0.97	0.97	0.97
Ngong_-_1_-_Phase_3	0.97	0.97	0.97	0.97
Prunus_Wind	0.97	0.97	0.97	0.97
OSWD_GENC_OffshoreWind_KEN	0.94	0.94	0.94	0.94
Menengai_I_Quantum	0.94	0.94	0.94	0.94
Menengai_I_Sosian	0.94	0.94	0.94	0.94
Olkaria_1_B_(Rehabilitated)	0.94	0.94	0.94	0.94
Olkaria_1_Unit_6	0.99	0.99	0.99	0.99
Ergon_Solair_(Kisumu_SolarOne_Ltd)	0.99	0.99	0.99	0.99
Marco_Borero	0.99	0.99	0.99	0.99
Radiant-_Selenkei	0.49	0.5	0.52	0.53
