g,z,book,deca_plant,method,applied,annual_2020,annual_deca,annual_new,note
Shtien _Shtien  __HY_NEW_2031,TAJ_S,,,keep_2020,keep_2020,0.7028,,0.7028,
Surobi-2_HY_NEW_2031,NEPS_AFG,,,keep_2020,keep_2020,0.5651,,0.5651,
Kunar-A_HY_NEW_2031,NEPS_AFG,,,keep_2020,keep_2020,0.6904,,0.6904,
Kukcha_HY_NEW_2031,NEPS_AFG,,,keep_2020,keep_2020,0.5741,,0.5741,
Gulbahar_HY_NEW_2031,NEPS_UZB,,,keep_2020,keep_2020,0.5651,,0.5651,
Capar_HY_NEW_2031,NEPS_UZB,,,keep_2020,keep_2020,0.5649,,0.5649,
Kunar-B_HY_NEW_2031,NEPS_AFG,,,keep_2020,keep_2020,0.5651,,0.5651,
UCH-KURGANSK_HY_NEW_2031,KGZ_S,KG,Uchkurgan HPP,deca_level,deca_level,0.4587,0.52,0.5200,
NARYN_HY_NEW_2031,KGZ_S,KG,"Narynskaya HPP-1 (47,7 MW)",deca_profile,deca_profile,0.4526,,0.5645,
Hodjikent_PSH_2_HY_NEW_2031,UZB,,,keep_2020,keep_2020,0.4300,,0.4300,
HPP_in_Pskem_1_HY_NEW_2031,UZB,UZ,Pskem HPP (Pskem river),deca_profile,deca_profile,0.4300,,0.2611,
HPP_in_Pskem_2_HY_NEW_2031,UZB,UZ,Pskem HPP (Pskem river),deca_profile,deca_profile,0.4300,,0.2611,
HPP_in_Pskem_3_HY_NEW_2031,UZB,UZ,Pskem HPP (Pskem river),deca_profile,deca_profile,0.4300,,0.2611,
HPP_in_Pskem_4_HY_NEW_2031,UZB,UZ,Pskem HPP (Pskem river),deca_profile,deca_profile,0.4300,,0.2611,
HPP_in_Pskem_5_HY_NEW_2031,UZB,UZ,Pskem HPP (Pskem river),deca_profile,deca_profile,0.4300,,0.2611,
GOLEN _GOL_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.4700,,0.4700,
NEELUM-JHELUM_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.6073,,0.6073,
TARBELA-IV_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.3109,,0.3109,
NUREK_1_HY_2022,TAJ_S,TJ,Nurek HPP,deca_level,deca_level,0.4698,0.4265,0.4265,
