gen,season,daytype,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Cafula (Keve),Q2,d4,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286
Cafula (Keve),Q2,d5,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286
Calengue (Catumbela),Q2,d1,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714
Calengue (Catumbela),Q2,d2,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714
Calengue (Catumbela),Q2,d3,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714
Calengue (Catumbela),Q2,d4,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714
Calengue (Catumbela),Q2,d5,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714
Jamba Ya Mina,Q2,d1,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143
Jamba Ya Mina,Q2,d2,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143
Jamba Ya Mina,Q2,d3,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143
Jamba Ya Mina,Q2,d4,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143
Jamba Ya Mina,Q2,d5,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143
Jamba Ya Oma,Q2,d1,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714
Jamba Ya Oma,Q2,d2,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714
Jamba Ya Oma,Q2,d3,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714
Jamba Ya Oma,Q2,d4,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714
Jamba Ya Oma,Q2,d5,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714
Lauca,Q2,d1,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143
Lauca,Q2,d2,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143
Lauca,Q2,d3,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143
Lauca,Q2,d4,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143
Lauca,Q2,d5,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143,0.6242857142857143
Lomaum,Q2,d1,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715
Lomaum,Q2,d2,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715
Lomaum,Q2,d3,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715
Lomaum,Q2,d4,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715
Lomaum,Q2,d5,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715,0.6314285714285715
Lomaum 2,Q2,d1,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143
Lomaum 2,Q2,d2,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143
Lomaum 2,Q2,d3,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143
Lomaum 2,Q2,d4,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143
Lomaum 2,Q2,d5,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143,0.2942857142857143
Luachimo,Q2,d1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Luachimo,Q2,d2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Luachimo,Q2,d3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Luachimo,Q2,d4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Luachimo,Q2,d5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Matala,Q2,d1,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999
Matala,Q2,d2,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999
Matala,Q2,d3,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999
Matala,Q2,d4,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999
Matala,Q2,d5,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999
Quilengue,Q2,d1,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858
Quilengue,Q2,d2,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858
Quilengue,Q2,d3,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858
Quilengue,Q2,d4,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858
Quilengue,Q2,d5,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858,0.5588392857142858
Quilengue (Balalunga),Q2,d1,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714
Quilengue (Balalunga),Q2,d2,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714
Quilengue (Balalunga),Q2,d3,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714
Quilengue (Balalunga),Q2,d4,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714
Quilengue (Balalunga),Q2,d5,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714
Tchiumbwe Dala,Q2,d1,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
Tchiumbwe Dala,Q2,d2,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
Tchiumbwe Dala,Q2,d3,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
Tchiumbwe Dala,Q2,d4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
Tchiumbwe Dala,Q2,d5,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
Tumuludo Casador,Q2,d1,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285
Tumuludo Casador,Q2,d2,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285
Tumuludo Casador,Q2,d3,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285
Tumuludo Casador,Q2,d4,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285
Tumuludo Casador,Q2,d5,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285,0.6185714285714285
Vuka Hydropower,Q2,d1,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571
Vuka Hydropower,Q2,d2,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571
Vuka Hydropower,Q2,d3,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571
