gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize,Unnamed: 26
JohannesburgLandfillGas_TH_ZAF,South_Africa,OCGT,Gas,2000,2050,18.0,1,,10.0,0.33,0.33,,,,,,0.0,,,0.0,7.0,10.7,0.2,0.0,18.0,
KafueGorge_HY_ZMB,Zambia,ReservoirHydro,Water,1977,2060,990.0,1,,,,,,0.345925003,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
KafueGorgeLower_HY_ZMB,Zambia,ReservoirHydro,Water,2023,2060,750.0,1,,,,,,0.345925003,,,0.0,0.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,
KalungwishiI_HY_ZMB,Zambia,ReservoirHydro,Water,2030,2110,101.0,3,,,,,,0.278070484,,,0.0,4.248837209,50.0,101.0,0.0,,0.0,0.0,0.0,0.0,
Kam'mwamba_C_MWI,Malawi,ST,Coal,2055,2060,0.0,3,,9.853126851,,,,,,,,2.84,,0.0,0.0,,0.0,0.05,0.0,0.0,
Kanengo,Malawi,ICE,Diesel,2000,2050,15.0,1,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,
Kapichira_HY_MWI,Malawi,ReservoirHydro,Water,2013,2093,65.0,1,,,,,,0.325,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,
Kapichira_parts_HY_MWI,Malawi,ReservoirHydro,Water,2013,2093,65.0,1,,,,,,0.325,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,
KaribaNB_HY_ZMB,Zambia,ReservoirHydro,Water,1976,2060,720.0,1,,,,,,0.252621343,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
KaribaNBE_HY_ZMB,Zambia,ReservoirHydro,Water,2015,2060,360.0,1,,,,,,0.252621343,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
KaribaSouth1_HY_ZWE,Zimbabwe,ReservoirHydro,Water,1962,2060,750.0,1,,,,,,0.275342466,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
KaribaSouthExtension_HY_ZWE,Zimbabwe,ReservoirHydro,Water,2017,2060,300.0,1,,,,,,0.275342466,,,0.0,0.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Kasitu_GT_MWI,Malawi,ST,Geothermal,2055,2060,6.0,3,,0.0,1.0,1.0,0.0,0.2,15000.0,2.538071066,0.0,9.95,30.0,5.0,0.0,,0.0,0.0,0.0,0.0,
KelvinA_TH_ZAF,South_Africa,ST,Coal,1957,2012,180.0,1,,14.8,,,,,,,,0.0,,,0.0,,0.0,0.05,0.0,180.0,
KelvinB_TH_ZAF,South_Africa,ST,Coal,1964,2026,420.0,1,,14.3,,,,,,,,0.0,,,0.0,,0.0,0.05,0.0,420.0,
Kendal_TH_ZAF,South_Africa,ST,Coal,1985,2042,3840.0,1,0.3,11.3,,,,,,,,0.0,,,0.0,,0.0,0.05,0.0,640.0,
Khan_PV_NAM,Namibia,PV,Solar,2025,2060,25.0,2,,0.0,,,,,,,,,,20.0,0.0,,0.0,0.0,1.0,0.0,
Kholombizo_HY_MWI,Malawi,ReservoirHydro,Water,2055,2060,213.0,3,,,,,,0.325077306,,,,3.445,,213.0,0.0,,0.0,0.0,0.0,0.0,
