g,z,tech,f,Status,StYr,RetrYr,Capacity,BuildLimitperYear,Life,HeatRate,RampUpRate,RampDnRate,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,UnitSize
HABAS_NG,WestAna,CCGT,Gas,1,2004,2060,801,801,30,8.422326555,0.05,0.05,0.05,,20000,1,8,
HAMITABAT_1_NG,Trakia,CCGT,Gas,1,1986,2060,610,610,30,6.52403083,0.05,0.05,0.05,,20000,1,8,
HAMITABAT_2_NG,Trakia,CCGT,Gas,1,1987,2060,610,610,30,6.52403083,0.05,0.05,0.05,,20000,1,8,
BANDIRMA_1_NG,WestAna,CCGT,Gas,1,2010,2060,903.8,903.8,30,6.218699635,0.05,0.05,0.05,,20000,1,8,
BANDIRMA_2_NG,WestAna,CCGT,Gas,1,2016,2060,607.2,607.2,30,6.093909089,0.05,0.05,0.05,,20000,1,8,
ANKARA_NG,CenterAna,CCGT,Gas,1,2004,2060,833.2,833.2,30,6.824115752,0.05,0.05,0.05,,20000,1,8,
ICANADOLU_NG,CenterAna,CCGT,Gas,1,2016,2060,870,870,30,6.781979596,0.05,0.05,0.05,,20000,1,8,
EUAS_BURSA_1_NG,NorthWest,CCGT,Gas,1,1999,2060,716,716,30,6.509388871,0.05,0.05,0.05,,20000,1,8,
EUAS_BURSA_2_NG,NorthWest,CCGT,Gas,1,1999,2060,716,716,30,6.509388871,0.05,0.05,0.05,,20000,1,8,
EUAS_ISTANBUL_A1_NG,Trakia,CCGT,Gas,1,1988,2028,450.3,450.3,30,6.870193237,0.05,0.05,0.05,,20000,1,8,
EUAS_ISTANBUL_A2_NG,Trakia,CCGT,Gas,1,1989,2028,450.3,450.3,30,6.870193237,0.05,0.05,0.05,,20000,1,8,
EUAS_ISTANBUL_A3_NG,Trakia,CCGT,Gas,1,1991,2060,450.3,450.3,30,6.870193237,0.05,0.05,0.05,,20000,1,8,
EUAS_ISTANBUL_B1_NG,Trakia,CCGT,Gas,1,2013,2060,408,408,30,6.52403083,0.05,0.05,0.05,,20000,1,8,
EUAS_ISTANBUL_B2_NG,Trakia,CCGT,Gas,1,2013,2060,408,408,30,6.52403083,0.05,0.05,0.05,,20000,1,8,
IZMIR_1_NG,WestAna,CCGT,Gas,1,2003,2060,760,760,30,6.776608852,0.05,0.05,0.05,,20000,1,8,
IZMIR_2_NG,WestAna,CCGT,Gas,1,2003,2060,760,760,30,6.776608852,0.05,0.05,0.05,,20000,1,8,
BIS_NG,Trakia,CCGT,Gas,1,2013,2060,486,486,30,6.729219979,0.05,0.05,0.05,,20000,1,8,
