z,q,d,y,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
BAHRAIN,Q3,d3,2035,5874.28241737773,5768.28533393398,5610.71530748896,5442.33767288613,5194.70141655726,4953.59279008442,5105.27267538701,5360.49091062568,5633.88022598518,5887.26554858309,6042.50518783382,6185.98681977971,6371.83334227641,6442.20424697879,6475.00468539899,6349.50532660053,6082.45271269698,5871.0461809964,6084.82658913796,6048.95326418982,5936.12836901659,5904.42258675684,5900.78009716867,5925.6474605656
BAHRAIN,Q3,d3,2036,6100.62509603959,5990.54382629148,5826.90245030478,5652.03703691726,5394.85907836695,5144.46026655966,5301.98454767083,5567.03662726747,5850.95993904719,6114.10848182681,6275.32967819141,6424.33981806489,6617.34721515581,6690.42958960692,6724.49386564435,6594.15887603645,6316.81642591466,6097.26416384704,6319.2817704728,6282.02620614897,6164.8540414407,6131.92659989121,6128.14376110091,6153.96929185218
BAHRAIN,Q3,d3,2037,6335.6890115341,6221.36618721048,6051.4195257865,5869.8163522337,5602.72903899202,5342.68208060761,5506.27594864153,5781.54078162968,6076.40397650604,6349.69192727233,6517.12515684362,6671.87682424512,6872.32101244603,6948.21933261117,6983.59614334428,6848.23920065766,6560.21043540714,6332.19857886112,6562.77077245143,6524.07970952113,6402.39277011524,6368.19659737575,6364.26800157141,6391.088618938
BAHRAIN,Q3,d3,2038,6579.81020288113,6461.08239213516,6284.58749556631,6095.98694840515,5818.60846194086,5548.54160308922,5718.43892602579,6004.31002122831,6310.53462514583,6594.35266664107,6768.23728601378,6928.95170842744,7137.11923562639,7215.94200304678,7252.68192190696,7112.10952466669,6812.98268860064,6576.1852799292,6815.64167829792,6775.4598053926,6649.08413196503,6613.57034240226,6609.49037340295,6637.34441918628
BAHRAIN,Q3,d3,2039,6833.33765706022,6710.03513083301,6526.73968828746,6330.87215087821,6042.80596076459,5762.33312346195,5938.77678047623,6235.6628090515,6553.68658982129,6848.44045823124,7029.02504667771,7195.93197573032,7412.12043082631,7493.98032772906,7532.13587679864,7386.14706770129,7075.49453972528,6829.57306176832,7078.25598327272,7036.52585781486,6905.28078819404,6868.39861255652,6864.16143778354,6893.08873113759
BAHRAIN,Q3,d3,2040,7096.63380790997,6968.58029729198,6778.22227611904,6574.80774319099,6275.64204023995,5984.36227048559,6167.60449915917,6475.92987882288,6806.20747193997,7112.31853691992,7299.86125175015,7473.19929165593,7697.71772998143,7782.731780366,7822.35750546197,7670.74358409423,7348.12126639425,7092.72415854646,7350.98911145342,7307.65107753867,7171.34898843727,7133.04570127743,7128.64526341631,7158.68715777164
BAHRAIN,Q3,d3,2041,7096.63380790997,6968.58029729198,6778.22227611904,6574.80774319099,6275.64204023995,5984.36227048559,6167.60449915917,6475.92987882288,6806.20747193997,7112.31853691992,7299.86125175015,7473.19929165593,7697.71772998143,7782.731780366,7822.35750546197,7670.74358409423,7348.12126639425,7092.72415854646,7350.98911145342,7307.65107753867,7171.34898843727,7133.04570127743,7128.64526341631,7158.68715777164
BAHRAIN,Q4,d1,2018,2680.49409536034,2574.23830163335,2434.22363810931,2352.26626394125,2305.16318012413,2195.91987579563,2236.74918734958,2331.65244079084,2424.86277155791,2518.07310232498,2595.44962690406,2680.19534430019,2782.26862318507,2956.14174019288,3119.75773746884,2983.32808666661,2723.41466433535,2866.21767108747,2879.46230142082,2813.03998238061,2836.74089981925,2877.47062768648,2924.47412781689,2749.50559025519
BAHRAIN,Q4,d1,2019,2805.48553672083,2694.2750352652,2547.73148789256,2461.95244131526,2412.65294066998,2298.31562099161,2341.04880336912,2440.37739557832,2537.93412412796,2635.4908526776,2716.47544464669,2805.17285489856,2912.00581084234,3093.9866314061,3265.23204273843,3122.44067723307,2850.40749185427,2999.86940290147,3013.73163035564,2944.21203853661,2969.01812977039,3011.64708487381,3060.842358245,2877.71503766624
BAHRAIN,Q4,d1,2020,3236.5372978896,3110.62081076658,2993.81792463178,2888.36054176804,2790.62182096575,2597.65526942936,2628.06493803293,2712.22625328133,2812.56886008025,2877.75900592459,2979.49655165028,3161.39658770097,3316.51379635769,3482.51152864321,3639.11667215515,3459.72752617265,3221.93693712275,3420.39024843776,3469.30610680313,3454.70574603628,3495.34496676949,3542.86588620809,3442.33728755226,3327.30132405804
BAHRAIN,Q4,d1,2021,3352.91220318991,3222.46818620519,3101.46546439367,2992.2161916753,2890.96311793014,2691.0581435998,2722.56124075933,2809.74871149136,2913.69929814314,2981.23346055546,3086.62914340722,3275.06968788441,3435.76438532201,3607.73083311944,3769.96696650368,3584.12759518646,3337.78686296347,3543.37588234706,3594.05058909297,3578.92524886653,3621.02571815924,3670.25532870517,3566.11206256006,3446.93979593517
BAHRAIN,Q4,d1,2022,3473.47155542754,3338.33721396132,3212.98364462485,3099.80613855196,2994.91234765019,2787.81946837219,2820.45531007046,2910.77774657484,3018.4660437994,3088.42850566633,3197.61385984952,3392.83008725567,3559.30282105601,3737.45259913371,3905.52219368992,3713.00066880932,3457.80235926048,3670.78366257578,3723.28045992528,3707.61126375823,3751.22552315316,3802.22526354403,3694.33735872499,3570.88006153613
BAHRAIN,Q4,d1,2023,3598.3658131238,3458.37249901382,3328.51164043027,3211.26465505308,3102.59923915235,2888.06000224082,2921.86931813001,3015.43944314443,3126.99984633843,3199.47792107336,3312.58921031732,3514.82475123247,3687.28327998834,3871.83871993392,4045.95152714308,3846.50758111786,3582.13320580086,3802.77259450891,3857.15699866094,3840.92439133799,3886.10687159358,3938.94038969565,3827.17320169499,3699.27679877472
BAHRAIN,Q4,d1,2024,3727.75084477823,3582.72384584625,3448.19363117965,3326.73084182303,3214.15818607893,2991.90484576589,3026.92982999835,3123.8644193879,3239.43615635068,3314.52029686125,3431.6986844769,3641.20592961055,3819.86548220917,4011.05690990015,4191.43022319517,3984.81494923669,3710.9345679449,3939.50740082588,3995.84728371969,3979.03100688637,4025.83809590651,4080.57132814746,3964.78537109763,3832.290247258
BAHRAIN,Q4,d1,2025,3871.18132520886,3721.36473737095,3581.4612148963,3455.09118165672,3337.85840866503,3106.58228371156,3143.04512413471,3243.89978913492,3364.23578258816,3442.41969810541,3564.30730178943,3782.04993750783,3965.48474701248,4156.59140710262,4328.64774158161,4130.81743715812,3853.94121153361,4085.99314160247,4141.7649093419,4125.21440021366,4171.1593031582,4224.00025157284,4111.07750699996,3978.15623056379
BAHRAIN,Q4,d1,2026,4020.34227602414,3864.7530873152,3719.4589254771,3588.21971336703,3466.46983037269,3226.28237737723,3264.15017186738,3368.89088003163,3493.86355404641,3575.0599833669,3701.6440528919,3927.77655615933,4118.27931425636,4316.74952793169,4495.43538562044,4289.98245806749,4002.43788146615,4243.43103221672,4301.35174861182,4284.16352983615,4331.87874133319,4386.75571065344,4269.48192629859,4131.43904425648
BAHRAIN,Q4,d1,2027,4175.25056528189,4013.66635092708,3862.77384235525,3726.47783646103,3600.03679415808,3350.59464967365,3389.92153268405,3498.69801760645,3628.48602867625,3712.81104732976,3844.27254278298,4079.11818458979,4276.96122725206,4483.0787204768,4668.64954432731,4455.28028544108,4156.65629435498,4406.93518103112,4467.08764747966,4449.23714738983,4498.79087941003,4555.782319801,4433.98984522977,4290.62801638333
BAHRAIN,Q4,d1,2028,4336.12764436727,4168.31740931616,4011.61084344277,3870.06319983809,3738.75024260592,3479.69681300746,3520.53900485247,3633.50676953014,3768.29565798316,3855.86981401962,3992.39666808306,4236.29117541281,4441.75733202315,4655.81676304059,4848.5378385078,4626.94722317852,4316.81691536254,4576.73932776622,4639.20953609652,4620.67123625198,4672.13432904958,4731.32171344908,4604.8364384681,4455.95071784162
BAHRAIN,Q4,d1,2029,4503.20349743528,4328.9273461395,4166.18270082703,4019.18106803093,3882.8084755325,3613.77342724332,3656.18931446893,3773.50985360361,3913.49230884465,4004.44079516529,4146.22818177763,4399.52021755045,4612.90321522446,4835.21059578992,5035.35743007438,4805.22868023328,4483.14870442081,4753.08621839564,4817.96347379747,4798.71087250357,4852.15689588715,4913.62483647652,4782.2659422317,4627.6434880901
