country,zone,attribute,resolution,year,RETRADE_P1,baseline
Ethiopia,,Capex: $m,,2036.0,0.0,0.1
Egypt,,Capex: $m,,2036.0,1871.8,1805.2
Libya,,Capex: $m,,2024.0,0.0,0.0
Libya,,Capex: $m,,2036.0,4135.6,4135.5
Burundi,,Capex: $m,,2036.0,73.6,442.2
DRC,,Capex: $m,,2030.0,0.0,0.0
DRC,,Capex: $m,,2024.0,0.0,0.0
Somalia,,Capex: $m,,2024.0,0.0,0.0
Rwanda,,Capex: $m,,2030.0,0.3,0.2
SouthSudan,,Capex: $m,,2036.0,28.2,33.6
Kenya,,Annualized capex: $m,,2036.0,503.3,453.2
Kenya,,Annualized capex: $m,,2030.0,464.9,464.9
Egypt,,Annualized capex: $m,,2030.0,837.5,837.5
Egypt,,Annualized capex: $m,,2036.0,2401.3,2339.0
Djibouti,,Annualized capex: $m,,2030.0,7.6,7.3
Djibouti,,Annualized capex: $m,,2036.0,27.5,10.8
Djibouti,,Annualized capex: $m,,2024.0,0.0,0.0
DRC,,Annualized capex: $m,,2030.0,23.0,18.3
Ethiopia,,Annualized capex: $m,,2036.0,875.4,1069.5
Uganda,,Annualized capex: $m,,2030.0,212.7,205.2
Uganda,,Annualized capex: $m,,2036.0,311.4,293.7
Kenya,,Annualized capex: $m,,2024.0,373.1,373.1
