,,,,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Liberia,HydroMC,m2,d17,0.229553753,0.2299244,0.229183107,0.2299244,0.227453423,0.225970837,0.2299244,0.226217934,0.227329874,0.226094386,0.228565363,0.228565363,0.228565363,0.223623409,0.224858897,0.226094386,0.229800851,0.228565363,0.229800851,0.229800851,0.228565363,0.226094386,0.226094386,0.228565363
Liberia,HydroMC,m2,d18,0.228565363,0.224858897,0.228565363,0.228565363,0.224858897,0.228565363,0.224858897,0.228565363,0.226094386,0.227329874,0.224858897,0.226094386,0.224858897,0.223623409,0.226094386,0.229800851,0.228565363,0.228565363,0.228565363,0.228565363,0.227329874,0.228565363,0.226094386,0.224858897
Liberia,HydroMC,m2,d19,0.227329874,0.22238792,0.226094386,0.227329874,0.227329874,0.223623409,0.227329874,0.223623409,0.227329874,0.224858897,0.227329874,0.226094386,0.223623409,0.224858897,0.223623409,0.224858897,0.223623409,0.223623409,0.226094386,0.227329874,0.224858897,0.224858897,0.22238792,0.223623409
Liberia,HydroMC,m2,d20,0.224858897,0,0,0,0,0,0.069805097,0.225970837,0.227700521,0.223994055,0.227947618,0.225847288,0.227947618,0.227082776,0.223746958,0.227700521,0.222882116,0.22349986,0.224364702,0.223623409,0.226959228,0.222882116,0.226094386,0.225847288
Liberia,HydroMC,m2,d21,0,0,0,0,0,0.020138462,0.229183107,0.229059558,0.22560019,0.228441814,0.224982446,0.224735348,0.223870506,0.228194716,0.224241153,0.224241153,0.227329874,0.224117604,0.227206325,0.226094386,0.226341483,0.226094386,0.22238792,0.22238792
Liberia,HydroMC,m2,d22,0,0,0,0,0,0.033975932,0.2246118,0.224117604,0.223994055,0.223870506,0.223376311,0.226959228,0.223005665,0.210774329,0.210897878,0,0,0,0.224735348,0.227700521,0.226835679,0.223623409,0.224982446,0.226465032
Liberia,HydroMC,m2,d23,0,0,0,0,0,0,0.225476641,0.228688911,0.228441814,0.22560019,0.227453423,0.227453423,0.225229544,0.225476641,0,0,0,0,0.225229544,0.22560019,0.226835679,0.222635018,0.223005665,0.226217934
Liberia,HydroMC,m2,d24,0,0,0,0,0,0,0,0,0.229800851,0.009883908,0.223623409,0.212504013,0.196442663,0.223623409,0.223623409,0.224858897,0.224858897,0.223623409,0.223623409,0.219916943,0.223623409,0.223623409,0.219916943,0.218681455
Liberia,HydroMC,m2,d25,0,0,0,0,0,0,0.224858897,0.221152432,0.219916943,0.223623409,0.221152432,0.189029732,0,0,0,0,0,0,0.224858897,0.223623409,0.221152432,0.223623409,0.219916943,0.22238792
Liberia,HydroMC,m2,d26,0,0,0,0,0,0,0.221152432,0.223623409,0.221152432,0.219916943,0.223623409,0,0,0,0,0,0,0,0.226094386,0.22238792,0.223623409,0.219916943,0.223623409,0
Liberia,HydroMC,m2,d27,0,0,0,0,0,0,0.224858897,0,0.196442663,0.185323267,0.197678151,0.122313356,0,0,0,0,0,0,0,0.224858897,0.221152432,0.223623409,0.223623409,0.219916943
Liberia,HydroMC,m2,d28,0,0,0,0,0,0.043242096,0.22238792,0.223623409,0.22238792,0.219916943,0.221152432,0.189029732,0,0,0,0,0,0,0,0.224858897,0.218681455,0.22238792,0.218681455,0
Liberia,HydroMC,m3,d1,0,0,0,0,0,0,0.227573128,0.226315818,0.226315818,0.194883065,0,0,0,0,0,0,0,0,0,0.228830438,0.223801198,0.226315818,0.226315818,0.051549714
Liberia,HydroMC,m3,d2,0,0,0,0,0,0,0.228830438,0.223801198,0.226315818,0.223801198,0.030175442,0,0,0,0,0,0,0,0,0.226315818,0.223801198,0.227573128,0,0
Liberia,HydroMC,m3,d3,0,0,0,0,0,0,0,0.227573128,0.226315818,0.222543888,0.135789491,0,0,0,0,0,0,0,0,0.228830438,0.225058508,0.227573128,0.227573128,0
Liberia,HydroMC,m3,d4,0,0,0,0,0,0.226315818,0.228830438,0.222543888,0.223801198,0.157163762,0,0,0,0,0,0,0,0,0,0.223801198,0.225058508,0.225058508,0.222543888,0
Liberia,HydroMC,m3,d5,0,0,0,0,0,0,0.226315818,0.226315818,0.225058508,0.223801198,0.223801198,0.217514647,0,0,0,0,0,0,0.149619902,0.225058508,0.227573128,0.227573128,0.222543888,0
Liberia,HydroMC,m3,d6,0,0,0,0,0,0,0.228830438,0.223801198,0.223801198,0.223801198,0,0.227573128,0,0,0,0,0.230716403,0.226818742,0.228327514,0.230213479,0.219777805,0.226693011,0.227447397,0
Liberia,HydroMC,m3,d7,0,0,0,0,0,0,0.228830438,0.228830438,0.231345058,0.230087748,0.231345058,0.227573128,0.231345058,0.227573128,0.228830438,0.227573128,0.231345058,0.230087748,0.226315818,0.225058508,0.230087748,0.225058508,0.227573128,0
Liberia,HydroMC,m3,d8,0,0,0,0.228830438,0.230087748,0.226315818,0.227573128,0.230087748,0.230087748,0.230087748,0.230087748,0.225058508,0.230087748,0.228830438,0.227573128,0.230087748,0.228830438,0.228830438,0.227573128,0.228830438,0.228830438,0.228830438,0.226315818,0.038976613
Liberia,HydroMC,m3,d9,0,0,0,0,0.227573128,0.230087748,0.231345058,0.228830438,0.231345058,0,0.230087748,0.230087748,0.227573128,0.230087748,0.230087748,0.230087748,0.230087748,0.230087748,0.228830438,0.458918186,0.348400629,0.443830465,0.446345085,0.287924013
Liberia,HydroMC,m3,d10,0.223801198,0.223801198,0.227573128,0.227573128,0.228830438,0.225058508,0.225058508,0.228830438,0.225058508,0,0,0.227573128,0.228830438,0.231345058,0.228830438,0.232602368,0.232602368,0.462690117,0.461432806,0.461432806,0.457660876,0.457660876,0.451374326,0.452631636
Liberia,HydroMC,m3,d11,0.230087748,0.226315818,0.226315818,0.230087748,0.226315818,0.230087748,0.452631636,0.448859706,0.450117016,0.446345085,0.442573155,0.227573128,0.227573128,0.228830438,0.227573128,0,0.228830438,0.230087748,0.228830438,0.228830438,0.228830438,0.228830438,0.228830438,0.228830438
Liberia,HydroMC,m3,d12,0.227573128,0.230087748,0.230087748,0.226315818,0.228830438,0.227573128,0.230087748,0.231345058,0.227573128,0.227573128,0.226315818,0.226315818,0.230087748,0.230087748,0.226315818,0.230087748,0.230087748,0.230087748,0.225058508,0.226315818,0.228830438,0.230087748,0.226315818,0.226315818
Liberia,HydroMC,m3,d13,0.230087748,0.230087748,0.226315818,0.230087748,0.228830438,0.230087748,0.230087748,0.230087748,0.225058508,0.225058508,0.226315818,0.227573128,0.225058508,0.228830438,0.228830438,0.225058508,0.228830438,0.228830438,0.223801198,0.225058508,0.226315818,0.227573128,0.228830438,0.106871358
Liberia,HydroMC,m3,d14,0,0,0,0,0,0.231345058,0.230087748,0.227573128,0.230087748,0.226315818,0.225058508,0.227573128,0.228830438,0.225058508,0.225058508,0.228830438,0.225058508,0.226315818,0.227573128,0.227573128,0.223801198,0.225058508,0.225058508,0.173508794
Liberia,HydroMC,m3,d15,0,0,0,0,0,0.231345058,0.228830438,0.227573128,0.228830438,0.230087748,0.230087748,0.227573128,0.226315818,0.230087748,0.226315818,0.225058508,0.228830438,0.225058508,0.227573128,0.225058508,0.227573128,0.226315818,0.227573128,0.227573128
Liberia,HydroMC,m3,d16,0,0,0,0,0,0.230087748,0.230087748,0.230087748,0.226315818,0.228830438,0.226315818,0.230087748,0.228830438,0.23033921,0.226315818,0.226315818,0.225058508,0.225058508,0.178538034,0.226315818,0.225058508,0.193625755,0.197397686,0.192368445
Liberia,HydroMC,m3,d17,0,0,0,0,0,0.227573128,0.227573128,0.227573128,0.226315818,0.225058508,0.225058508,0.090526327,0,0,0.232225175,0.229962017,0.227321666,0.227070204,0.226315818,0.230464941,0.228956169,0.229710555,0.228453245,0.228076052
Liberia,HydroMC,m3,d18,0,0,0,0,0,0.228956169,0.23159652,0.230842134,0.227321666,0.227950321,0.22782459,0.230842134,0.227447397,0.229710555,0.228830438,0.230087748,0.229710555,0.229836286,0.225938625,0.226190087,0.226190087,0.225812894,0.225058508,0.229207631
Liberia,HydroMC,m3,d19,0,0,0,0,0,0.232350906,0.228578976,0.230716403,0.230590672,0.226818742,0.228578976,0.226693011,0,0,0,0,0,0,0.231219327,0.233231023,0.231345058,0.229459093,0.233356754,0.228453245
Liberia,HydroMC,m3,d20,0,0,0,0,0,0.233859678,0.234865527,0.234488334,0.230967865,0.234488334,0.230967865,0.229836286,0.234236872,0.234739796,0.234865527,0.228830438,0.229962017,0.233859678,0.454643332,0.454517601,0.411643327,0.359716419,0.451500057,0.446219354
Liberia,HydroMC,m3,d21,0,0,0,0,0,0.232979561,0.231973713,0.231470789,0.232476637,0.227195935,0.228327514,0.223046812,0.228830438,0.231847982,0.228704707,0.231973713,0.232602368,0.232476637,0.228327514,0.443956196,0.448985437,0.445087775,0.449488361,0.447350933
Liberia,HydroMC,m3,d22,0,0,0,0,0,0.232979561,0.231973713,0.231470789,0.232476637,0.227195935,0.228327514,0.223046812,0.228830438,0.231847982,0.228704707,0.231973713,0.232602368,0.232476637,0.454643332,0.443956196,0.448985437,0.445087775,0.449488361,0.447350933
Liberia,HydroMC,m3,d23,0,0,0,0,0,0.230087748,0.228830438,0.230087748,0.228830438,0.230087748,0.230087748,0.212485407,0.177280724,0.231345058,0.230087748,0.230087748,0.231345058,0.231345058,0.228830438,0.450745671,0.451122864,0.445590699,0.44445912,0.448105319
Liberia,HydroMC,m3,d24,0,0,0,0,0,0.232602368,0.229836286,0.231973713,0.230590672,0.2290819,0.230213479,0.230590672,0.228578976,0.216257337,0,0.103099428,0.206324587,0.23285383,0.228453245,0.446093623,0.435532218,0.433897715,0.447979588,0.448859706
Liberia,HydroMC,m3,d25,0,0,0,0,0,0,0,0,0.233859678,0.232602368,0.228830438,0.232602368,0.228830438,0.218771957,0.228830438,0.227573128,0.232602368,0.232602368,0.449111168,0.451751519,0.453008829,0.448859706,0.44697374,0.140818731
Liberia,HydroMC,m3,d26,0,0,0,0,0,0,0.228830438,0.227573128,0.228201783,0.232602368,0.232602368,0.230590672,0.231219327,0.228830438,0.228578976,0.231722251,0.231847982,0.231722251,0.231470789,0.282140386,0.447853857,0.447853857,0.427862627,0
Liberia,HydroMC,m3,d27,0,0,0,0,0,0,0.228830438,0.230087748,0.226315818,0.226315818,0.230087748,0.230087748,0.228830438,0.226315818,0.228830438,0.226315818,0.226315818,0.225058508,0.225058508,0.228830438,0.227573128,0.228830438,0.225058508,0.137046801
Liberia,HydroMC,m3,d28,0,0,0,0,0,0.227573128,0.227573128,0.230087748,0.226315818,0.225058508,0.225058508,0.225058508,0.225058508,0.228830438,0.223801198,0.225058508,0.228830438,0.230087748,0.230087748,0.228830438,0.230087748,0.225058508,0.227573128,0.041491233
Liberia,HydroMC,m3,d29,0,0,0,0,0,0,0.230087748,0.226315818,0.225058508,0.225058508,0.225058508,0.222543888,0.225058508,0.221286578,0.222543888,0.222543888,0.192368445,0.227573128,0.228830438,0.230087748,0.228830438,0.227573128,0.227573128,0.226315818
Liberia,HydroMC,m3,d30,0.223801198,0.227573128,0.223801198,0.227573128,0.227573128,0.228830438,0.228830438,0.228830438,0.230087748,0.227573128,0.225058508,0.225058508,0.226315818,0.230087748,0.230087748,0.228830438,0.230087748,0.457660876,0.454140408,0.458540993,0.459295379,0.458918186,0.450117016,0.448733974
Liberia,HydroMC,m3,d31,0.444836313,0.226315818,0.227573128,0.226315818,0.227573128,0.225058508,0.227573128,0.225058508,0.228830438,0.227573128,0.225058508,0.228830438,0.228830438,0.282894772,0.456529297,0.458038069,0.455020525,0.457786607,0.457032221,0.455271987,0.457786607,0.454643332,0.449236899,0.276789386
Liberia,HydroMC,m4,d1,0.274694847,0.278573622,0.277022112,0.138860146,0.139635901,0.139635901,0.256930058,0.28136634,0.279504528,0.279039075,0.281831793,0.278651198,0.280125132,0.278496047,0.279039075,0.279659679,0.279426953,0.28136634,0.279116651,0.278728773,0.280823312,0.279039075,0.277487565,0.276246357
Liberia,HydroMC,m4,d2,0.277642716,0.277254839,0.275936055,0.267325175,0.139635901,0.139635901,0.141963166,0.142738921,0.280047557,0.278496047,0.276944537,0.276168782,0.279271802,0.276944537,0.276168782,0.280047557,0.280047557,0.280047557,0.277720292,0.274617272,0.277720292,0.275393027,0.277720292,0.282374822
