z,y,tech,f,value,techfuel
Tanzania,2026,ST,Waste,0.0,Waste
Tanzania,2026,Methane,Methane,0.0,Methane
Tanzania,2026,CSPPlant,Solar,0.0,Solar
Tanzania,2026,RPV,Solar,0.0,Solar
Uganda,2026,Nuclear,Uranium,0.0,Nuclear
Uganda,2026,CCGT,Gas,0.0,Gas
Uganda,2026,CCGT,LNG,0.0,Gas
Uganda,2026,ICE,Gas,0.0,Gas
Uganda,2026,OCGT,Gas,0.0,Gas
Uganda,2026,OCGT,LNG,0.0,Gas
Uganda,2026,ST,Gas,0.0,Gas
Uganda,2026,CCGT_CCS,Gas,0.0,Gas
Uganda,2026,OCGT_CCS,Gas,0.0,Gas
Uganda,2026,ST,Coal,0.0,Coal
Uganda,2026,ST,DomesticCoal,0.0,Coal
Uganda,2026,ST,ImportedCoal,0.0,Coal
Uganda,2026,ST,Lignite,0.0,Coal
Uganda,2026,ST,Geothermal,0.0,Geothermal
Uganda,2026,Geothermal,Geothermal,0.0,Geothermal
Uganda,2026,CCGT,LFO,0.0,Diesel
Uganda,2026,ICE,Diesel,0.0,Diesel
Uganda,2026,ICE,HFO,0.0,Diesel
Uganda,2026,OCGT,LFO,0.0,Diesel
Uganda,2026,OCGT,Diesel,0.0,Diesel
Uganda,2026,OCGT,HFO,0.0,Diesel
Uganda,2026,ST,HFO,0.0,Diesel
Uganda,2026,BiomassPlant,Biomass,0.0,Biomass
Uganda,2026,ST,Biomass,0.0,Biomass
Uganda,2026,ReservoirHydro,Water,0.0,Reservoir
Uganda,2026,ROR,Water,0.0,ROR
Uganda,2026,CSPPlant,CSP,0.0,CSP
Uganda,2026,OffshoreWind,Wind,0.0,Offshore Wind
Uganda,2026,OnshoreWind,Wind,0.0,Onshore Wind
Uganda,2026,PV,Solar,10.0,PV
Uganda,2026,pvwsto,Solar,0.0,PV+Storage
Uganda,2026,STOPV,Solar,0.0,Solar Thermal
Uganda,2026,Storage,Battery,0.0,Battery
Uganda,2026,Storage,Water,0.0,PSH
Uganda,2026,Storage,Pumped,0.0,PSH
Uganda,2026,ImportTransmission,Import,0.0,Imports
Uganda,2026,ST,Peat,0.0,Peat
Uganda,2026,ST,Waste,0.0,Waste
Uganda,2026,Methane,Methane,0.0,Methane
Uganda,2026,CSPPlant,Solar,0.0,Solar
Uganda,2026,RPV,Solar,0.0,Solar
