z,tech,q,d,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Gambia,PV,wet,1,0,0,0,0,0,0,0,0.036,0.148,0.272,0.391,0.499,0.568,0.572,0.524,0.436,0.327,0.189,0.057,0,0,0,0,0
Gambia,PV,wet,2,0,0,0,0,0,0,0,0.008,0.058,0.122,0.191,0.261,0.336,0.37,0.36,0.316,0.232,0.128,0.036,0,0,0,0,0
Gambia,PV,wet,3,0,0,0,0,0,0,0,0.004,0.242,0.484,0.635,0.717,0.771,0.734,0.592,0.438,0.293,0.217,0.031,0,0,0,0,0
Gambia,PV,wet,4,0,0,0,0,0,0,0,0.023,0.109,0.204,0.275,0.324,0.383,0.421,0.397,0.328,0.249,0.148,0.049,0,0,0,0,0
Ghana,PV,dry,1,0,0,0,0,0,0,0.035,0.181,0.346,0.472,0.558,0.598,0.596,0.552,0.466,0.332,0.184,0.042,0,0,0,0,0,0
Ghana,PV,dry,2,0,0,0,0,0,0,0.022,0.218,0.425,0.557,0.636,0.684,0.682,0.641,0.552,0.397,0.208,0.024,0,0,0,0,0,0
Ghana,PV,dry,3,0,0,0,0,0,0,0.015,0.208,0.415,0.561,0.645,0.675,0.644,0.558,0.427,0.263,0.116,0.014,0,0,0,0,0,0
Ghana,PV,dry,4,0,0,0,0,0,0,0.025,0.211,0.405,0.539,0.633,0.663,0.665,0.614,0.531,0.399,0.216,0.031,0,0,0,0,0,0
Ghana,PV,wet,1,0,0,0,0,0,0,0.027,0.117,0.208,0.293,0.367,0.42,0.445,0.422,0.358,0.256,0.141,0.035,0,0,0,0,0,0
Ghana,PV,wet,2,0,0,0,0,0,0,0.032,0.136,0.256,0.361,0.437,0.467,0.467,0.448,0.384,0.285,0.165,0.046,0,0,0,0,0,0
Ghana,PV,wet,3,0,0,0,0,0,0,0.015,0.256,0.488,0.637,0.722,0.762,0.756,0.71,0.616,0.469,0.256,0.029,0,0,0,0,0,0
Ghana,PV,wet,4,0,0,0,0,0,0,0.027,0.131,0.25,0.347,0.414,0.446,0.448,0.402,0.334,0.217,0.113,0.032,0,0,0,0,0,0
Guinea,PV,dry,1,0,0,0,0,0,0,0,0.071,0.24,0.398,0.519,0.594,0.624,0.61,0.553,0.451,0.309,0.145,0.017,0,0,0,0,0
Guinea,PV,dry,2,0,0,0,0,0,0,0,0.031,0.194,0.398,0.557,0.657,0.699,0.69,0.621,0.483,0.294,0.108,0,0,0,0,0,0
Guinea,PV,dry,3,0,0,0,0,0,0,0,0.059,0.275,0.512,0.64,0.715,0.743,0.729,0.669,0.556,0.39,0.171,0.004,0,0,0,0,0
Guinea,PV,dry,4,0,0,0,0,0,0,0,0.033,0.172,0.361,0.503,0.571,0.605,0.592,0.544,0.425,0.269,0.097,0,0,0,0,0,0
Guinea,PV,wet,1,0,0,0,0,0,0,0,0.024,0.096,0.196,0.268,0.332,0.349,0.312,0.244,0.177,0.108,0.047,0.002,0,0,0,0,0
Guinea,PV,wet,2,0,0,0,0,0,0,0,0.051,0.16,0.269,0.359,0.412,0.399,0.383,0.269,0.168,0.073,0.023,0,0,0,0,0,0
Guinea,PV,wet,3,0,0,0,0,0,0,0,0.115,0.387,0.582,0.707,0.781,0.811,0.796,0.738,0.627,0.465,0.233,0.002,0,0,0,0,0
Guinea,PV,wet,4,0,0,0,0,0,0,0,0.043,0.151,0.268,0.367,0.407,0.41,0.375,0.336,0.241,0.147,0.071,0.01,0,0,0,0,0
GuineaBissau,PV,dry,1,0,0,0,0,0,0,0,0.038,0.193,0.362,0.498,0.587,0.636,0.633,0.588,0.49,0.359,0.196,0.044,0,0,0,0,0
GuineaBissau,PV,dry,2,0,0,0,0,0,0,0,0.005,0.111,0.281,0.432,0.554,0.626,0.666,0.624,0.529,0.383,0.186,0.016,0,0,0,0,0
