z,g,uni,y,value
South_Africa,Kendal_TH_ZAF,Variable Cost: $m,2025,1056.2510933472956
South_Africa,Kendal_TH_ZAF,Variable Cost: $m,2026,1015.7162023665923
South_Africa,Kendal_TH_ZAF,Variable Cost: $m,2027,976.9555709548209
South_Africa,Kendal_TH_ZAF,Variable Cost: $m,2028,939.8915375618409
South_Africa,Kendal_TH_ZAF,Variable Cost: $m,2029,904.4498402053682
South_Africa,Kendal_TH_ZAF,Variable Cost: $m,2030,870.5594672002244
South_Africa,Kendal_TH_ZAF,Variable Cost: $m,2031,838.1525156229268
South_Africa,Kendal_TH_ZAF,Variable Cost: $m,2032,807.1640539575284
South_Africa,Kendal_TH_ZAF,Variable Cost: $m,2033,722.6817231861545
South_Africa,Kendal_TH_ZAF,Variable Cost: $m,2034,664.1810880703449
South_Africa,Kendal_TH_ZAF,Variable Cost: $m,2035,640.1681371536584
South_Africa,Koeberg_NU_ZAF,Fixed O&M: $m,2025,186.0
South_Africa,Koeberg_NU_ZAF,Fixed O&M: $m,2026,186.0
South_Africa,Koeberg_NU_ZAF,Fixed O&M: $m,2027,186.0
South_Africa,Koeberg_NU_ZAF,Fixed O&M: $m,2028,186.0
South_Africa,Koeberg_NU_ZAF,Fixed O&M: $m,2029,186.0
South_Africa,Koeberg_NU_ZAF,Fixed O&M: $m,2030,186.0
South_Africa,Koeberg_NU_ZAF,Fixed O&M: $m,2031,186.0
South_Africa,Koeberg_NU_ZAF,Fixed O&M: $m,2032,186.0
South_Africa,Koeberg_NU_ZAF,Fixed O&M: $m,2033,186.0
South_Africa,Koeberg_NU_ZAF,Fixed O&M: $m,2034,186.0
South_Africa,Koeberg_NU_ZAF,Fixed O&M: $m,2035,186.0
South_Africa,Koeberg_NU_ZAF,Variable Cost: $m,2025,249.93250498924058
South_Africa,Koeberg_NU_ZAF,Variable Cost: $m,2026,249.93250498924064
South_Africa,Koeberg_NU_ZAF,Variable Cost: $m,2027,249.9325049892406
South_Africa,Koeberg_NU_ZAF,Variable Cost: $m,2028,249.93250498924056
South_Africa,Koeberg_NU_ZAF,Variable Cost: $m,2029,249.93250498924044
South_Africa,Koeberg_NU_ZAF,Variable Cost: $m,2030,249.9325049892405
South_Africa,Koeberg_NU_ZAF,Variable Cost: $m,2031,249.93250498924036
South_Africa,Koeberg_NU_ZAF,Variable Cost: $m,2032,249.9325049892404
South_Africa,Koeberg_NU_ZAF,Variable Cost: $m,2033,249.93250498924056
South_Africa,Koeberg_NU_ZAF,Variable Cost: $m,2034,249.93250498924053
South_Africa,Koeberg_NU_ZAF,Variable Cost: $m,2035,249.9325049892406
South_Africa,Kriel_TH_ZAF,Fixed O&M: $m,2025,118.8
South_Africa,Kriel_TH_ZAF,Fixed O&M: $m,2026,118.8
South_Africa,Kriel_TH_ZAF,Fixed O&M: $m,2027,118.8
South_Africa,Kriel_TH_ZAF,Fixed O&M: $m,2028,118.8
South_Africa,Kriel_TH_ZAF,Fixed O&M: $m,2029,118.8
South_Africa,Kriel_TH_ZAF,Fixed O&M: $m,2030,118.8
South_Africa,Kriel_TH_ZAF,Fixed O&M: $m,2031,118.8
South_Africa,Kriel_TH_ZAF,Fixed O&M: $m,2032,118.8
South_Africa,Kriel_TH_ZAF,Variable Cost: $m,2025,607.7755325957144
South_Africa,Kriel_TH_ZAF,Variable Cost: $m,2026,314.20536297105787
South_Africa,Kriel_TH_ZAF,Variable Cost: $m,2027,111.93345556102351
South_Africa,Kriel_TH_ZAF,Variable Cost: $m,2029,0.03565434197102839
South_Africa,Kriel_TH_ZAF,Variable Cost: $m,2030,0.11359543842304756
South_Africa,Kriel_TH_ZAF,Variable Cost: $m,2031,2.393960023121629
South_Africa,Kriel_TH_ZAF,Variable Cost: $m,2032,6.352696246051704
South_Africa,Kusile_I_TH_ZAF,Fixed O&M: $m,2025,64.8
South_Africa,Kusile_I_TH_ZAF,Fixed O&M: $m,2026,64.8
South_Africa,Kusile_I_TH_ZAF,Fixed O&M: $m,2027,64.8
South_Africa,Kusile_I_TH_ZAF,Fixed O&M: $m,2028,64.8
South_Africa,Kusile_I_TH_ZAF,Fixed O&M: $m,2029,64.8
South_Africa,Kusile_I_TH_ZAF,Fixed O&M: $m,2030,64.8
South_Africa,Kusile_I_TH_ZAF,Fixed O&M: $m,2031,64.8
South_Africa,Kusile_I_TH_ZAF,Fixed O&M: $m,2032,64.8
South_Africa,Kusile_I_TH_ZAF,Fixed O&M: $m,2033,64.8
South_Africa,Kusile_I_TH_ZAF,Fixed O&M: $m,2034,64.8
