z,y,tech,f,value
Angola,2029,OffshoreWind,Biomass,0.0
Angola,2029,OffshoreWind,CSP,0.0
Angola,2029,OffshoreWind,Coal,0.0
Angola,2029,OffshoreWind,Diesel,0.0
Angola,2029,OffshoreWind,Gas,0.0
Angola,2029,OffshoreWind,Geothermal,0.0
Angola,2029,OffshoreWind,HFO,0.0
Angola,2029,OffshoreWind,LNG,0.0
Angola,2029,OffshoreWind,Solar,0.0
Angola,2029,OffshoreWind,Uranium,0.0
Angola,2029,OffshoreWind,Water,0.0
Angola,2029,OffshoreWind,Wind,0.0
Angola,2029,OnshoreWind,Battery,0.0
Angola,2029,OnshoreWind,Biomass,0.0
Angola,2029,OnshoreWind,CSP,0.0
Angola,2029,OnshoreWind,Coal,0.0
Angola,2029,OnshoreWind,Diesel,0.0
Angola,2029,OnshoreWind,Gas,0.0
Angola,2029,OnshoreWind,Geothermal,0.0
Angola,2029,OnshoreWind,HFO,0.0
Angola,2029,OnshoreWind,LNG,0.0
Angola,2029,OnshoreWind,Solar,0.0
Angola,2029,OnshoreWind,Uranium,0.0
Angola,2029,OnshoreWind,Water,0.0
Angola,2029,OnshoreWind,Wind,0.0
Angola,2029,PV,Battery,0.0
Angola,2029,PV,Biomass,0.0
Angola,2029,PV,CSP,0.0
Angola,2029,PV,Coal,0.0
Angola,2029,PV,Diesel,0.0
Angola,2029,PV,Gas,0.0
Angola,2029,PV,Geothermal,0.0
Angola,2029,PV,HFO,0.0
Angola,2029,PV,LNG,0.0
Angola,2029,PV,Solar,1016.5739476480608
Angola,2029,PV,Uranium,0.0
Angola,2029,PV,Water,0.0
Angola,2029,PV,Wind,0.0
Angola,2029,ROR,Battery,0.0
Angola,2029,ROR,Biomass,0.0
Angola,2029,ROR,CSP,0.0
Angola,2029,ROR,Coal,0.0
Angola,2029,ROR,Diesel,0.0
Angola,2029,ROR,Gas,0.0
Angola,2029,ROR,Geothermal,0.0
Angola,2029,ROR,HFO,0.0
Angola,2029,ROR,LNG,0.0
Angola,2029,ROR,Solar,0.0
Angola,2029,ROR,Uranium,0.0
Angola,2029,ROR,Water,0.0
Angola,2029,ROR,Wind,0.0
Angola,2029,ReservoirHydro,Battery,0.0
Angola,2029,ReservoirHydro,Biomass,0.0
Angola,2029,ReservoirHydro,CSP,0.0
Angola,2029,ReservoirHydro,Coal,0.0
Angola,2029,ReservoirHydro,Diesel,0.0
Angola,2029,ReservoirHydro,Gas,0.0
Angola,2029,ReservoirHydro,Geothermal,0.0
Angola,2029,ReservoirHydro,HFO,0.0
Angola,2029,ReservoirHydro,LNG,0.0
Angola,2029,ReservoirHydro,Solar,0.0
Angola,2029,ReservoirHydro,Uranium,0.0
Angola,2029,ReservoirHydro,Water,3760.074035554936
Angola,2029,ReservoirHydro,Wind,0.0
Angola,2029,STOPV,Battery,0.0
Angola,2029,STOPV,Biomass,0.0
Angola,2029,STOPV,CSP,0.0
Angola,2029,STOPV,Coal,0.0
Angola,2029,STOPV,Diesel,0.0
Angola,2029,STOPV,Gas,0.0
Angola,2029,STOPV,Geothermal,0.0
Angola,2029,STOPV,HFO,0.0
Angola,2029,STOPV,LNG,0.0
Angola,2029,STOPV,Solar,0.0
Angola,2029,STOPV,Uranium,0.0
Angola,2029,STOPV,Water,0.0
Angola,2029,STOPV,Wind,0.0
Angola,2029,pvwsto,Battery,0.0
Angola,2029,pvwsto,Biomass,0.0
Angola,2029,pvwsto,CSP,0.0
Angola,2029,pvwsto,Coal,0.0
Angola,2029,pvwsto,Diesel,0.0
Angola,2029,pvwsto,Gas,0.0
Angola,2029,pvwsto,Geothermal,0.0
Angola,2029,pvwsto,HFO,0.0
Angola,2029,pvwsto,LNG,0.0
Angola,2029,pvwsto,Solar,0.0
Angola,2029,pvwsto,Uranium,0.0
Angola,2029,pvwsto,Water,0.0
Angola,2029,pvwsto,Wind,0.0
Angola,2030,BiomassPlant,Battery,0.0
Angola,2030,BiomassPlant,Biomass,0.0
Angola,2030,BiomassPlant,CSP,0.0
Angola,2030,BiomassPlant,Coal,0.0
Angola,2030,BiomassPlant,Diesel,0.0
Angola,2030,BiomassPlant,Gas,0.0
Angola,2030,BiomassPlant,Geothermal,0.0
Angola,2030,BiomassPlant,HFO,0.0
Angola,2030,BiomassPlant,LNG,0.0
Angola,2030,BiomassPlant,Solar,0.0
Angola,2030,BiomassPlant,Uranium,0.0
Angola,2030,BiomassPlant,Water,0.0
Angola,2030,BiomassPlant,Wind,0.0
Angola,2030,CSPPlant,Battery,0.0
Angola,2030,CSPPlant,Biomass,0.0
Angola,2030,CSPPlant,CSP,0.0
Angola,2030,CSPPlant,Coal,0.0
Angola,2030,CSPPlant,Diesel,0.0
Angola,2030,CSPPlant,Gas,0.0
Angola,2030,CSPPlant,Geothermal,0.0
Angola,2030,CSPPlant,HFO,0.0
Angola,2030,CSPPlant,LNG,0.0
Angola,2030,CSPPlant,Solar,0.0
Angola,2030,CSPPlant,Uranium,0.0
Angola,2030,CSPPlant,Water,0.0
Angola,2030,CSPPlant,Wind,0.0
Angola,2030,OffshoreWind,Battery,0.0
Angola,2030,OffshoreWind,Biomass,0.0
Angola,2030,OffshoreWind,CSP,0.0
Angola,2030,OffshoreWind,Coal,0.0
Angola,2030,OffshoreWind,Diesel,0.0
Angola,2030,OffshoreWind,Gas,0.0
Angola,2030,OffshoreWind,Geothermal,0.0
Angola,2030,OffshoreWind,HFO,0.0
Angola,2030,OffshoreWind,LNG,0.0
Angola,2030,OffshoreWind,Solar,0.0
Angola,2030,OffshoreWind,Uranium,0.0
Angola,2030,OffshoreWind,Water,0.0
Angola,2030,OffshoreWind,Wind,0.0
Angola,2030,OnshoreWind,Battery,0.0
Angola,2030,OnshoreWind,Biomass,0.0
Angola,2030,OnshoreWind,CSP,0.0
Angola,2030,OnshoreWind,Coal,0.0
Angola,2030,OnshoreWind,Diesel,0.0
Angola,2030,OnshoreWind,Gas,0.0
Angola,2030,OnshoreWind,Geothermal,0.0
Angola,2030,OnshoreWind,HFO,0.0
Angola,2030,OnshoreWind,LNG,0.0
Angola,2030,OnshoreWind,Solar,0.0
Angola,2030,OnshoreWind,Uranium,0.0
Angola,2030,OnshoreWind,Water,0.0
