gen,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ezulwini_HY_SWZ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maguduza_HY_SWZ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maguga_HY_SWZ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EdwaleniThermal_TH_SWZ,,,0.996721311,0.996721311,0.993442623,0.990163934,0.986885246,0.983606557,0.980327869,0.97704918,0.973770492,0.970491803,0.967213115,0.964754098,0.962295082,0.959836066,0.957377049,0.954918033,0.952459016,0.95,0.947540984,0.945081967,0.942622951,0.940198584,0.937780453,0.935368542,0.932962833,0.930563312,0.928169962,0.925782768,0.923401714,0.921026783,0.918657961
Tanwat_Bio_TZA,,,1,0.994117647,0.988235294,0.982352941,0.976470588,0.970588235,0.964705882,0.958823529,0.952941176,0.947058824,0.941176471,0.934926471,0.928676471,0.922426471,0.916176471,0.909926471,0.903676471,0.897426471,0.891176471,0.884926471,0.882352941,0.876676702,0.871036979,0.865433537,0.859866141,0.854334562,0.848838567,0.843377928,0.837952419,0.832561811,0.827205882
TPC_BIO_TZA,,,1,0.994117647,0.988235294,0.982352941,0.976470588,0.970588235,0.964705882,0.958823529,0.952941176,0.947058824,0.941176471,0.934926471,0.928676471,0.922426471,0.916176471,0.909926471,0.903676471,0.897426471,0.891176471,0.884926471,0.882352941,0.876676702,0.871036979,0.865433537,0.859866141,0.854334562,0.848838567,0.843377928,0.837952419,0.832561811,0.827205882
Kidatu,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hale,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAPower&Mapembasi_HY_TZA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kihansi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mtera,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mwenga_HY_TZA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyumba_Ya_Mungu,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New_Pangani_Falls,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinyerezi_I,,,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.887054339,0.884118427,0.881192233,0.878275723,0.875368866,0.87247163,0.869583984,0.866705894,0.86383733,0.860978261
Nyakato,,,0.996721311,0.996721311,0.993442623,0.990163934,0.986885246,0.983606557,0.980327869,0.97704918,0.973770492,0.970491803,0.967213115,0.964754098,0.962295082,0.959836066,0.957377049,0.954918033,0.952459016,0.95,0.947540984,0.945081967,0.942622951,0.940198584,0.937780453,0.935368542,0.932962833,0.930563312,0.928169962,0.925782768,0.923401714,0.921026783,0.918657961
Songas,,,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.887054339,0.884118427,0.881192233,0.878275723,0.875368866,0.87247163,0.869583984,0.866705894,0.86383733,0.860978261
